system:index,Aspect,DEM,EVI,Fire_Label,LSWI,NBR,NDMI,NDVI,NDWI,Precipitation,SAVI,Slope,TCI,Temperature,VCI,WindSpeed,random,.geo
1,105,229,1.7558112415455183,0,0.099215046,0.2675528,-0.099215046,0.4096309,-0.40555203,0.4970802,0.6143906420021763,1,55.36118232544116,29.501578947368444,69.57799468939673,2.303526549570668,0.18202214264697003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.71024835414093,13.652146530406428]}"
2,199,330,1.2514478764478765,0,-0.080508165,0.059916317,0.080508165,0.25742084,-0.2898167,1.6722314,0.38609291244788563,13,59.38430059523802,27.528571428571468,54.78182423741358,1.7826358491363525,0.32161946330558444,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.82865088286974,13.27485411107623]}"
3,33,372,0.8924433814186411,0,-0.11148855,-0.036895204,0.11148855,0.22338635,-0.2541235,1.333355,0.3350481713590871,1,41.84068058778031,30.690000000000055,51.473370181709754,2.871140667734912,0.4353538619931425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48279949848371,13.813843281547943]}"
5,180,652,1.2090359529112313,0,0.075892106,0.17878121,-0.075892106,0.31007752,-0.34604904,0.42261466,0.465068842427333,1,49.68280075187994,27.578421052631597,59.900521973937195,2.9102477837311165,0.6930356393797762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.89440298738543,13.890200080698103]}"
6,219,747,2.133117436509289,0,0.077572964,0.22872573,-0.077572964,0.42316145,-0.41312742,0.4742927,0.6346885301327022,2,48.170922355393266,27.824736842105324,70.89328403645422,3.2096070770590006,0.47304551359765556,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.98872609221799,13.840792740071528]}"
7,194,483,2.586271567891973,0,0.17491426,0.3587502,-0.17491426,0.489441,-0.4597791,1.4208126,0.7340963534735161,11,52.59871441689638,25.832666666666682,77.33624354407583,2.7539236268666527,0.44903727943034377,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.61305521468105,13.87672535143631]}"
9,211,459,0.8299595141700405,0,-0.11096637,-0.050528046,0.11096637,0.20778698,-0.24991675,1.647898,0.31165540540540543,0,53.64845434938883,28.04538461538465,49.956974117491235,2.0136899440304643,0.6103716228048649,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.67593728456941,14.092321019624993]}"
11,131,391,1.5248847193512483,0,0.06421456,0.22232002,-0.06421456,0.3816156,-0.39690202,0.348063,0.5723664577737989,3,53.32638527010614,29.366842105263174,66.8546582050636,2.5943327852181772,0.11188598836555186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.83601249391766,13.737486482397783]}"
12,76,363,0.7647991543340381,0,-0.13227631,-0.026253577,0.13227631,0.22683807,-0.28907922,0.6152132,0.34023042558194216,2,47.076361423790644,29.40578947368425,51.808908001426744,2.974472759821159,0.47636168656816646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.15940599620069,13.476975050003121]}"
13,85,481,0.7662562328279231,0,-0.07360735,0.013921114,0.07360735,0.23679246,-0.2836162,1.5914077,0.3551607578020596,2,58.527299472181085,28.863846153846225,52.77656309758666,2.340011405374553,0.15514852761897469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.60407206183986,14.056388408260213]}"
15,249,182,0.7801814834297738,0,-0.067961164,0.025884587,0.067961164,0.22414282,-0.28545922,0.64890665,0.3361824707215716,0,40.44391281233399,32.883684210526326,51.54690619603617,2.3283437166300125,0.2731350327588814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.74168938908511,13.432059285797147]}"
16,133,1121,2.1268919394579373,0,0.10218978,0.27550358,-0.10218978,0.44471022,-0.4173285,2.0813916,0.6670039554778769,3,30.8379544054224,23.373333333333335,72.98801452712429,1.9497440121668814,0.11885529675254902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41991742859535,14.505546050319975]}"
18,197,717,2.100371747211896,0,0.052971758,0.20424233,-0.052971758,0.40153357,-0.394492,0.56045204,0.6022440392706873,2,50.2311854402363,27.475263157894744,68.79086179210564,3.2096070770590006,0.6323410293900578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.02915028000336,13.827318010809735]}"
21,90,257,0.5228365384615384,0,-0.1543293,-0.07461954,0.1543293,0.16071428,-0.23182486,0.57216066,0.24105287462479796,3,53.181544028950725,32.432500000000005,45.3810900573243,2.882510676246685,0.5472592771731034,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.28517013597742,13.485958202844317]}"
22,221,187,1.2077324332617367,0,0.016239768,0.17799205,-0.016239768,0.34351546,-0.37679994,0.57818466,0.5152282049044419,3,59.17353625026378,29.216315789473754,63.15098537167848,1.365850026648267,0.24416820230650205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.48566953311105,13.899183233539297]}"
24,0,203,0.3464114482304286,0,-0.16983235,-0.10613002,0.16983235,0.13057874,-0.23260885,0.74462587,0.19585460063457028,0,61.52263374485592,32.71222222222224,42.45164760150116,2.888072358580852,0.16454777684495114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.91236929306783,13.414092980114756]}"
26,250,367,0.8873861440794921,0,-0.038417757,0.07542966,0.038417757,0.23501462,-0.2775047,0.5914933,0.35248972133394246,1,53.55071670861141,30.706842105263206,52.603741956789584,3.028936941044427,0.15398828037071277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.17737230188308,13.598247613359257]}"
27,239,275,1.148765248437965,0,0.040653758,0.22744209,-0.040653758,0.3418932,-0.37914088,0.60230565,0.5127944041083762,4,53.75939849624085,29.298421052631568,62.99328929094806,2.336451900578853,0.5935710413661768,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.71024835414093,13.503924508526708]}"
29,245,535,3.6798088410991636,0,0.22569962,0.40668947,-0.22569962,0.49898744,-0.44626808,1.6367959,0.7484053862508859,8,41.23813571327384,22.9715384615385,78.2642432597875,2.364637786493362,0.5562755613390041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.72534462519599,13.863250622174515]}"
30,158,430,3.2915006640106244,0,0.16292974,0.35046,-0.16292974,0.4675092,-0.42178363,1.1450404,0.7011976612599019,1,51.01333333333332,23.893333333333374,75.20427810590782,2.074476713119752,0.4278652188710701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54118999195148,13.153581547720094]}"
31,103,296,0.8570179274158286,0,-0.13318579,-0.058540724,0.13318579,0.21452025,-0.26746622,0.6365697,0.32175102599179206,5,48.047849699104674,29.5555555555556,50.61150712966399,2.7963966744924598,0.0273704801228124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.28517013597742,13.414092980114756]}"
32,32,530,1.0652185989667242,0,-0.026776152,0.12366035,0.026776152,0.30628544,-0.3497277,1.631348,0.4593914710110206,4,47.358219669777604,26.64571428571429,59.53189824808776,2.340011405374553,0.0286341047479709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56364787405448,14.069863137522006]}"
33,0,168,2.30959201817643,0,0.12348813,0.3140063,-0.12348813,0.45082915,-0.42015857,0.5962437,0.6761785404415309,1,49.75138380711153,28.247894736842113,73.58283017295554,2.0884060635067265,0.5480695392624946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.5889757907848,13.620705495462245]}"
34,43,562,0.9277966101694914,0,-0.05412794,0.050394658,0.05412794,0.24650995,-0.28816083,0.80471784,0.36973162824207495,4,45.85406301824215,30.447777777777787,53.72119028583848,2.9060230122984723,0.6402271290974086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.31211959450101,13.791385399444954]}"
35,139,254,1.5403110676985499,0,0.07907383,0.25147778,-0.07907383,0.38246268,-0.37873292,0.6055246,0.5736405186083388,4,49.82125124131042,28.488947368421123,66.93700264562784,2.336451900578853,0.12349075723024705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.65185786067316,13.48146662642372]}"
36,314,718,1.7234174964438123,0,0.064616755,0.20221421,-0.064616755,0.37075642,-0.37483215,0.56171465,0.5560814687320711,0,50.28411737307865,27.387894736842156,65.79905072064355,2.790177634473366,0.23565758088032007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.1459312669389,14.02494737331603]}"
38,41,308,1.7847660899020414,0,-0.005694915,0.1657261,0.005694915,0.362125,-0.35997775,1.8160249,0.5431370728083209,6,59.0610677567201,27.534615384615392,64.9600001421168,1.844610095021757,0.451115372889893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.84212561213153,13.225446770449656]}"
39,269,1187,2.8642596957360187,0,0.26502225,0.43320507,-0.26502225,0.51937836,-0.47288135,0.45851138,0.7789918414918415,12,52.571770334928594,20.96368421052631,80.24641919362085,1.234433154044977,0.6450349432937311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.72821465982332,14.164186242354555]}"
40,232,263,1.1133908635568162,0,0.013925685,0.18592086,-0.013925685,0.3284087,-0.37023777,0.4525737,0.49256919106523095,1,56.21004566210064,28.78666666666669,61.68247409471594,1.7600225222404422,0.6070321795922171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.575501061523,13.917149539221688]}"
41,283,705,1.9488038277511963,0,0.05330998,0.17846227,-0.05330998,0.3715224,-0.3736525,0.7347258,0.557232761765779,1,49.269005847953416,28.143684210526317,65.87350906451434,2.1061998671367057,0.4094358292423378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.93931875159141,14.105795748886788]}"
42,243,801,3.030853840417599,0,0.24374357,0.43297258,-0.24374357,0.558821,-0.5062692,2.1875904,0.8381594775734662,6,34.27754677754677,25.371538461538478,84.0805960900979,2.133516012590156,0.20188763018747913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.61305521468105,14.303425111393082]}"
43,71,296,1.8340931292738523,0,0.11968065,0.28933218,-0.11968065,0.4349421,-0.42626882,0.40843067,0.6523501592510376,2,58.75071963154821,28.394444444444503,72.03846592430594,1.7600225222404422,0.5237751951543876,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.62939997857018,13.94859057416587]}"
44,80,422,0.9146859083191851,0,-0.0932272,0.01625463,0.0932272,0.23820929,-0.2882883,0.4910278,0.35728101685548497,16,47.53036437246953,28.965384615384664,52.914291777198116,2.3867332371881966,0.27543443079489804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41093427575416,13.324261451702803]}"
45,128,255,0.7734942726936815,0,-0.15630686,-0.08000512,0.15630686,0.21176867,-0.25888947,1.2706769,0.3176262328247492,4,46.96042141230086,31.703750000000014,50.344029618266894,2.8356209753615773,0.05561339529185949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53220683911029,13.68807914177121]}"
46,305,1040,3.101989480905557,0,0.20142286,0.3828045,-0.20142286,0.5030595,-0.4658228,0.8506947,0.7545193288217299,10,53.66393215964601,22.98157894736846,78.66008531247132,2.8570261755285036,0.35790755571799304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.30762801808041,13.939607421324675]}"
